rir|cc|type|asn|size|alloc_date|status|opaqueid
afrinic|ZA|asn|1228|1|19910301|allocated|F36B9F4B
afrinic|ZA|asn|1229|1|19910301|allocated|F36B9F4B
afrinic|ZA|asn|1230|1|19910301|allocated|F36B9F4B
afrinic|ZA|asn|1231|1|19910301|allocated|F36B9F4B
afrinic|ZA|asn|1232|1|19910301|allocated|F36B9F4B
afrinic|ZA|asn|2018|1|20010307|allocated|F36B9F4B
afrinic|EG|asn|2561|1|20070920|allocated|F3648BE1
afrinic|ZA|asn|2905|1|19930910|allocated|F367678F
afrinic|ZA|asn|3067|1|19931029|allocated|F367BC5B
afrinic|ZA|asn|3068|1|19931029|allocated|F367BC5B
afrinic|DZ|asn|3208|1|20090928|allocated|F366B63E
afrinic|ZA|asn|3741|1|19940801|allocated|F362CFE4
afrinic|ZA|asn|4178|1|20120307|allocated|F367678F
afrinic|ZA|asn|4571|1|20010626|allocated|F367678F
afrinic|ZA|asn|5713|1|19950906|allocated|F36ED442
afrinic|ZA|asn|5734|1|19950913|allocated|F36ED442
afrinic|ZA|asn|6083|1|19951108|allocated|F36F62C3
afrinic|ZA|asn|6089|1|20151211|allocated|F36C55B7
afrinic|EG|asn|6127|1|20070920|allocated|F363ABD5
afrinic|ZA|asn|6149|1|20010307|allocated|F36B9F4B
afrinic|ZA|asn|6180|1|19951221|allocated|F36D9626
afrinic|ZA|asn|6187|1|19840101|allocated|F36771FA
afrinic|ZA|asn|6351|1|20151211|allocated|F36C55B7
afrinic|ZA|asn|6529|1|19960517|allocated|F36A776D
afrinic|ZA|asn|6560|1|19960523|allocated|F36DFF35
afrinic|MA|asn|6713|1|20070920|allocated|F36FB4CD
afrinic|EG|asn|6879|1|19961216|allocated|F363C475
afrinic|ZA|asn|6968|1|19960710|allocated|F36795C4
afrinic|ZA|asn|7020|1|19960730|allocated|F3627BD6
afrinic|ZA|asn|7154|1|19960923|allocated|F369EF34
afrinic|ZA|asn|7231|1|19961014|allocated|F36AEAB9
afrinic|ZA|asn|7390|1|19961127|allocated|F368C804
afrinic|ZM|asn|7420|1|19961206|allocated|F367AA74
afrinic|ZA|asn|7460|1|19961218|allocated|F36A27E6
afrinic|ZA|asn|7971|1|19970307|allocated|F3686F76
afrinic|ZA|asn|7972|1|19970307|allocated|F36AB59A
afrinic|ZA|asn|8094|1|19970409|allocated|F36C3DA1
afrinic|EG|asn|8524|1|20070920|allocated|F362AF0D
afrinic|ZA|asn|9129|1|20070920|allocated|F367678F
afrinic|ZA|asn|10247|1|19970523|allocated|F36D135A
afrinic|ZA|asn|10262|1|19970528|allocated|F36CA7E1
afrinic|ZA|asn|10331|1|20110815|allocated|F363F2E5
afrinic|ZA|asn|10393|1|20151211|allocated|F36C55B7
afrinic|ZA|asn|10474|1|20151211|allocated|F36C55B7
afrinic|ZA|asn|10505|1|19970828|allocated|F3614B08
afrinic|ZA|asn|10540|1|19970909|allocated|F36B4F28
afrinic|ZA|asn|10575|1|19970919|allocated|F366AAB2
afrinic|ZA|asn|10798|1|19971201|allocated|F361568D
afrinic|ZA|asn|10803|1|19971202|allocated|F36D6800
afrinic|ZA|asn|10898|1|19971219|allocated|F36107F0
afrinic|ZA|asn|11125|1|19980417|allocated|F368EFAB
afrinic|ZA|asn|11157|1|19980429|allocated|F36A9688
afrinic|AO|asn|11259|1|19980604|allocated|F362E4AF
afrinic|ZA|asn|11569|1|19981007|allocated|F367678F
afrinic|ZA|asn|11645|1|19981102|allocated|F36D2FA4
afrinic|ZA|asn|11744|1|19981204|allocated|F3651CDB
afrinic|ZA|asn|11845|1|19990114|allocated|F362E39E
afrinic|ZA|asn|12091|1|20020621|allocated|F367678F
afrinic|TZ|asn|12143|1|19990405|allocated|F36C6788
afrinic|ZA|asn|12258|1|20151211|allocated|F36C55B7
afrinic|KE|asn|12455|1|20070917|allocated|F367736D
afrinic|KE|asn|12556|1|20090115|allocated|F3658AF9
afrinic|KE|asn|13224|1|20100211|allocated|F36F4490
afrinic|ZA|asn|13854|1|19990827|allocated|F364C2C9
afrinic|ZA|asn|14115|1|19991022|allocated|F36499E8
afrinic|ZA|asn|14331|1|19991130|allocated|F36FEBF9
afrinic|ZA|asn|14516|1|19991228|allocated|F3651CDB
afrinic|BW|asn|14988|1|20000302|allocated|F36AAA81
afrinic|ZA|asn|15022|1|20000309|allocated|F36BDB53
afrinic|KE|asn|15399|1|20070919|allocated|F36724C2
afrinic|EG|asn|15475|1|20070921|allocated|F36CC4C5
afrinic|SD|asn|15706|1|20070919|allocated|F369C738
afrinic|EG|asn|15804|1|20070919|allocated|F36FA1AA
afrinic|GH|asn|15825|1|20070919|allocated|F369E2B4
afrinic|CM|asn|15964|1|20070920|allocated|F369591C
afrinic|GA|asn|16058|1|20070920|allocated|F369A96A
afrinic|DZ|asn|16214|1|20071226|allocated|F36FA8CC
afrinic|NG|asn|16284|1|20070920|allocated|F3656665
afrinic|ZA|asn|16416|1|20000426|allocated|F3655BDA
afrinic|ZA|asn|16637|1|20070920|allocated|F367678F
afrinic|ZA|asn|16800|1|20000612|allocated|F36AC63A
afrinic|KE|asn|16907|1|20070927|allocated|F36724C2
afrinic|ZA|asn|17148|1|20000731|allocated|F36F854A
afrinic|AO|asn|17400|1|20000828|allocated|F362CE41
afrinic|MU|asn|17652|1|20041105|allocated|F36D3930
afrinic|ZA|asn|18775|1|20001010|allocated|F36F294D
afrinic|ZW|asn|18922|1|20001027|allocated|F36663C2
afrinic|ZA|asn|18931|1|20001030|allocated|F36F76E3
afrinic|ZA|asn|19232|1|20001206|allocated|F36D5F23
afrinic|MU|asn|19676|1|20150202|allocated|F3668037
afrinic|SZ|asn|19711|1|20101124|allocated|F363EA80
afrinic|ZA|asn|19832|1|19971016|allocated|F3655593
afrinic|ZA|asn|19847|1|20010221|allocated|F3653581
afrinic|ZA|asn|20011|1|20010314|allocated|F362CFE4
afrinic|SC|asn|20180|1|20140402|allocated|F3639A71
afrinic|UG|asn|20294|1|20090928|allocated|F362CAB6
afrinic|NA|asn|20459|1|20010510|allocated|F363AFA1
afrinic|EG|asn|20484|1|20070920|allocated|F3662B6E
afrinic|EG|asn|20858|1|20070920|allocated|F368B581
afrinic|EG|asn|20928|1|20070920|allocated|F36E558E
afrinic|LY|asn|21003|1|20090125|allocated|F36A991D
afrinic|SC|asn|21242|1|20131224|allocated|F36D1582
afrinic|ML|asn|21271|1|20070920|allocated|F3646075
afrinic|MU|asn|21280|1|20150202|allocated|F3668037
afrinic|DZ|asn|21391|1|20070920|allocated|F36D7B35
afrinic|ZA|asn|21739|1|20140124|allocated|F3614C03
afrinic|TZ|asn|22354|1|20010914|allocated|F36C3DC5
afrinic|ZA|asn|22355|1|20010914|allocated|F361ED63
afrinic|ZA|asn|22386|1|20010920|allocated|F361E99D
afrinic|ZA|asn|22572|1|20011016|allocated|F362C7E9
afrinic|RW|asn|22690|1|20131202|allocated|F3623CAF
afrinic|NA|asn|22735|1|20130211|allocated|F3672AB7
