"provider","provider_cc","provider_name","customer","customer_cc","customer_name","type"
1,"US","LVLT-1",3549,"US","LVLT-3549",0
1,"US","LVLT-1",11537,"US","ABILENE",0
1,"US","LVLT-1",133296,NULL,"WEBWERKS-AS-IN",0
2,"US","UDEL-DCN",6147,"PE","",-1
2,"US","UDEL-DCN",21954,"US","TELES-27",0
2,"US","UDEL-DCN",26862,"US","FULLNETINC",0
2,"US","UDEL-DCN",37030,"GH","TIGO-AS",-1
2,"US","UDEL-DCN",52720,"BR","",0
3,"US","MIT-GATEWAYS",293,"US","ESNET",0
3,"US","MIT-GATEWAYS",6147,"PE","",-1
3,"US","MIT-GATEWAYS",6939,"US","HURRICANE",0
3,"US","MIT-GATEWAYS",23248,"US","PPS",-1
3,"US","MIT-GATEWAYS",27881,"AR","",0
3,"US","MIT-GATEWAYS",28591,"BR","",0
3,"US","MIT-GATEWAYS",33480,"US","WEBWERKSAS1",0
3,"US","MIT-GATEWAYS",56994,"RU","AMTEL-AS",-1
3,"US","MIT-GATEWAYS",133295,NULL,"WEBWERKS-AS",-1
3,"US","MIT-GATEWAYS",136759,"BD","COSMOPOLITAN1-AS-AP",-1
3,"US","MIT-GATEWAYS",266813,"AR","",-1
4,"US","ISI-AS",6147,"PE","",-1
4,"US","ISI-AS",205906,"IQ","SCIS-AS",-1
5,"US","SYMBOLICS",52352,"AR","",0
8,"US","RICE-AS",1700,"US","RICE-AS1700",-1
8,"US","RICE-AS",34805,"PL","COMDREV-AS",0
10,"US","CSNET-EXT-AS",46392,"US","GCPOWERNET",0
12,"US","NYU-DOMAIN",54965,"US","NYU-POLY",-1
13,"US","DNIC-AS-00013",1508,"US","DNIC-AS-01508",-1
24,"US","AS24",293,"US","ESNET",0
24,"US","AS24",2153,"US","CSUNET-NE",0
24,"US","AS24",7575,NULL,"AARNET-AS-AP",0
24,"US","AS24",10343,"US","AS10343",-1
24,"US","AS24",22388,"US","TRANSPAC",0
32,"US","STANFORD",3671,"US","SLAC",-1
32,"US","STANFORD",46750,"US","STANFORD-BCDC",-1
33,"US","HP-DIGITAL-33",54680,"US","HP-BCRS-ALPHARETTA-GA",-1
34,"US","UDELNET",2,"US","UDEL-DCN",-1
34,"US","UDELNET",3754,"US","NYSERNET3-AS",0
34,"US","UDELNET",30641,"US","STATEOFDE",-1
35,"US","MITRE-AS-1",5691,"US","MITRE-AS-5",-1
42,"US","WOODYNET-1",187,"US","DNSCAST-AS",-1
42,"US","WOODYNET-1",286,"NL","KPN",0
42,"US","WOODYNET-1",293,"US","ESNET",0
42,"US","WOODYNET-1",553,"DE","BELWUE",0
42,"US","WOODYNET-1",680,"DE","DFN",0
42,"US","WOODYNET-1",701,"US","UUNET",0
42,"US","WOODYNET-1",715,"US","WOODYNET-2",-1
42,"US","WOODYNET-1",852,"CA","ASN852",0
42,"US","WOODYNET-1",1103,"NL","SURFNET-NL",0
42,"US","WOODYNET-1",1267,"IT","ASN-WINDTRE",0
42,"US","WOODYNET-1",1280,"US","ISC-AS-1280",0
42,"US","WOODYNET-1",1403,"CA","EBOX",0
42,"US","WOODYNET-1",1764,"AT","NEXTLAYER-AS",0
42,"US","WOODYNET-1",1798,"US","OREGON",0
42,"US","WOODYNET-1",1836,"CH","GREEN",0
42,"US","WOODYNET-1",1916,"BR","",0
42,"US","WOODYNET-1",2018,"ZA","TENET-1",0
