"provider","provider_cc","provider_name","provider_type","customer","customer_cc","customer_region","customer_name","customer_type","type"
2,"US","UDEL-DCN","Transit/Access",37030,"GH","Western Africa","TIGO-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",2018,"ZA","Southern Africa","TENET-1","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",3741,"ZA","Southern Africa","IS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",5713,"ZA","Southern Africa","SAIX-NET","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",6713,"MA","Northern Africa","IAM-AS","Content",-1
174,"US","COGENT-174","Transit/Access",8452,"EG","Northern Africa","TE-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",11845,"ZA","Southern Africa","Vox-Telecom","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",16637,"ZA","Southern Africa","MTNNS-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",17400,"AO","Middle Africa","MSTELCOM","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",20459,"NA","Southern Africa","TELECOM-NAMIBIA-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",23889,"MU","Eastern Africa","MauritiusTelecom","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",25250,"GM","Western Africa","GAMTEL-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",25818,"ZA","Southern Africa","CMCNETWORKS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",29091,"NG","Western Africa","IPNXng","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",29571,"CI","Western Africa","ORANGE-COTE-IVOIRE","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",30990,"DJ","Eastern Africa","ADJIB-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",30998,"NG","Western Africa","NAL-AS","Enterprise",-1
174,"US","COGENT-174","Transit/Access",33763,"NA","Southern Africa","Paratus-Telecom","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36874,"ZA","Southern Africa","Cybersmart","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36902,"SC","Eastern Africa","ASINTELVISION","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36920,"NG","Western Africa","KKON","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36925,"MA","Northern Africa","ASMedi","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36930,"TZ","Eastern Africa","Zantel-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36944,"ZA","Southern Africa","UBUNTU-UNICAST-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36947,"DZ","Northern Africa","ALGTEL-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",36958,"SC","Eastern Africa","CWSeychelles-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37002,"RE","Eastern Africa","Reunicable","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37009,"NA","Southern Africa","MTCASN","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37035,"TZ","Eastern Africa","MIC-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37054,"MG","Eastern Africa","Telecom-Malagasy","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37090,"BJ","Western Africa","ISOCEL","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37100,"MU","Eastern Africa","SEACOM-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37136,"BJ","Western Africa","ETISALAT-AS","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37187,"MW","Eastern Africa","SKYBAND","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37203,"LR","Western Africa","LIBTELCO","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37271,"ZA","Southern Africa","Workonline","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37288,"SN","Western Africa","WACREN","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37309,"GM","Western Africa","QCell","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37349,"TZ","Eastern Africa","Aptus","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37427,"GN","Western Africa","Cellcom","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37451,"CG","Middle Africa","CongoTelecom","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37468,"AO","Middle Africa","ANGOLA-CABLES","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37497,"ZA","Southern Africa","Network-Platforms","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37508,"MR",NULL,"MATTEL","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37529,"GQ","Middle Africa","GITGE","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37552,"GM","Western Africa","Gamtel","Transit/Access",-1
174,"US","COGENT-174","Transit/Access",37558,"LY","Northern Africa","LITC","Transit/Access",-1
