"provider","provider_cc","provider_name","customer","customer_cc","customer_name","type"
2,"US","UDEL-DCN",37030,"GH","TIGO-AS",-1
174,"US","COGENT-174",2018,"ZA","TENET-1",-1
174,"US","COGENT-174",3741,"ZA","IS",-1
174,"US","COGENT-174",5713,"ZA","SAIX-NET",-1
174,"US","COGENT-174",6713,"MA","IAM-AS",-1
174,"US","COGENT-174",8452,"EG","TE-AS",-1
174,"US","COGENT-174",11845,"ZA","Vox-Telecom",-1
174,"US","COGENT-174",16637,"ZA","MTNNS-AS",-1
174,"US","COGENT-174",17400,"AO","MSTELCOM",-1
174,"US","COGENT-174",20459,"NA","TELECOM-NAMIBIA-AS",-1
174,"US","COGENT-174",23889,"MU","MauritiusTelecom",-1
174,"US","COGENT-174",25250,"GM","GAMTEL-AS",-1
174,"US","COGENT-174",25818,"ZA","CMCNETWORKS",-1
174,"US","COGENT-174",29091,"NG","IPNXng",-1
174,"US","COGENT-174",29571,"CI","ORANGE-COTE-IVOIRE",-1
174,"US","COGENT-174",30990,"DJ","ADJIB-AS",-1
174,"US","COGENT-174",30998,"NG","NAL-AS",-1
174,"US","COGENT-174",33763,"NA","Paratus-Telecom",-1
174,"US","COGENT-174",36874,"ZA","Cybersmart",-1
174,"US","COGENT-174",36902,"SC","ASINTELVISION",-1
174,"US","COGENT-174",36920,"NG","KKON",-1
174,"US","COGENT-174",36925,"MA","ASMedi",-1
174,"US","COGENT-174",36930,"TZ","Zantel-AS",-1
174,"US","COGENT-174",36944,"ZA","UBUNTU-UNICAST-AS",-1
174,"US","COGENT-174",36947,"DZ","ALGTEL-AS",-1
174,"US","COGENT-174",36958,"SC","CWSeychelles-AS",-1
174,"US","COGENT-174",37002,"RE","Reunicable",-1
174,"US","COGENT-174",37009,"NA","MTCASN",-1
174,"US","COGENT-174",37035,"TZ","MIC-AS",-1
174,"US","COGENT-174",37054,"MG","Telecom-Malagasy",-1
174,"US","COGENT-174",37090,"BJ","ISOCEL",-1
174,"US","COGENT-174",37100,"MU","SEACOM-AS",-1
174,"US","COGENT-174",37136,"BJ","ETISALAT-AS",-1
174,"US","COGENT-174",37187,"MW","SKYBAND",-1
174,"US","COGENT-174",37203,"LR","LIBTELCO",-1
174,"US","COGENT-174",37271,"ZA","Workonline",-1
174,"US","COGENT-174",37288,"SN","WACREN",-1
174,"US","COGENT-174",37309,"GM","QCell",-1
174,"US","COGENT-174",37349,"TZ","Aptus",-1
174,"US","COGENT-174",37427,"GN","Cellcom",-1
174,"US","COGENT-174",37451,"CG","CongoTelecom",-1
174,"US","COGENT-174",37468,"AO","ANGOLA-CABLES",-1
174,"US","COGENT-174",37497,"ZA","Network-Platforms",-1
174,"US","COGENT-174",37508,"MR","MATTEL",-1
174,"US","COGENT-174",37529,"GQ","GITGE",-1
174,"US","COGENT-174",37552,"GM","Gamtel",-1
174,"US","COGENT-174",37558,"LY","LITC",-1
174,"US","COGENT-174",37582,"GA","ANINF",-1
174,"US","COGENT-174",37613,"GH","Dolphin-Telecom-AS",-1
174,"US","COGENT-174",37649,"SN","Tigo",-1
174,"US","COGENT-174",37678,"BW","BOFINET",-1
174,"US","COGENT-174",37680,"ZA","COOL-IDEAS",-1
174,"US","COGENT-174",37693,"TN","TUNISIANA",-1
174,"US","COGENT-174",201398,"EG","Star-Ware-AS",-1
174,"US","COGENT-174",327725,"ST","UnitelSTP",-1
174,"US","COGENT-174",327814,"GH","Ecoband",-1
174,"US","COGENT-174",327952,"NG","AS-NATCOM",-1
174,"US","COGENT-174",327956,"RE","PARABOLE-REUNION",-1
174,"US","COGENT-174",328107,"GN","GUILAB-AS",-1
174,"US","COGENT-174",328145,"ZA","Lyca-Digital-AS",-1
174,"US","COGENT-174",328160,"NG","Dotmac-Tech",-1
174,"US","COGENT-174",328236,"SL","PCS-Holdings-Limited",-1
174,"US","COGENT-174",328449,"ZA","Teracom-Communications-AS",-1
500,NULL,"AFCONC-BLOCK1-AS",328402,"NG","SYSCOMPTECH-AS",-1
1273,"GB","CW",21271,"ML","SOTELMABGP",-1
1273,"GB","CW",24691,"TG","TOGOTEL-AS",-1
1273,"GB","CW",24835,"EG","RAYA-AS",-1
1273,"GB","CW",29571,"CI","ORANGE-COTE-IVOIRE",-1
1273,"GB","CW",29614,"GH","GHANATEL-AS",-1
1273,"GB","CW",36925,"MA","ASMedi",-1
1273,"GB","CW",36994,"ZA","Vodacom-VB",-1
1273,"GB","CW",37002,"RE","Reunicable",-1
1273,"GB","CW",37148,"NG","globacom-as",-1
1273,"GB","CW",37677,"CD","SCPT",-1
1299,"SE","TELIANET",11845,"ZA","Vox-Telecom",-1
1299,"SE","TELIANET",25818,"ZA","CMCNETWORKS",-1
1299,"SE","TELIANET",30999,"MU","EMTEL-AS-AP",-1
1299,"SE","TELIANET",33788,"SD","KANARTEL",-1
1299,"SE","TELIANET",36920,"NG","KKON",-1
1299,"SE","TELIANET",37054,"MG","Telecom-Malagasy",-1
1299,"SE","TELIANET",37100,"MU","SEACOM-AS",-1
1299,"SE","TELIANET",37148,"NG","globacom-as",-1
1299,"SE","TELIANET",37271,"ZA","Workonline",-1
1299,"SE","TELIANET",37468,"AO","ANGOLA-CABLES",-1
1299,"SE","TELIANET",37497,"ZA","Network-Platforms",-1
1299,"SE","TELIANET",327795,"TZ","Tanzania-e-Government-Agency",-1
1299,"SE","TELIANET",328145,"ZA","Lyca-Digital-AS",-1
1299,"SE","TELIANET",328449,"ZA","Teracom-Communications-AS",-1
2018,"ZA","TENET-1",8094,"ZA","PUKNET",-1
2018,"ZA","TENET-1",36982,"ZA","UCT",-1
2018,"ZA","TENET-1",37501,"ZA","UOFS",-1
2018,"ZA","TENET-1",37520,"ZA","Rhodes-Univ",-1
2609,"TN","TN-BB-AS",5438,"TN","ATI-TN",-1
2609,"TN","TN-BB-AS",37492,"TN","ORANGE-TN",-1
2609,"TN","TN-BB-AS",37551,"TN","ATI-TUNIXP",-1
2609,"TN","TN-BB-AS",37717,"TN","EL-Khawarizmi",-1
2609,"TN","TN-BB-AS",327934,"TN","Tunisie-Telecom",-1
2914,"US","NTT-COMMUNICATIONS-2914",3741,"ZA","IS",-1
